Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Level
12346.0,326,11,372.8600000000006,2,1,2,Others
12347.0,2,2,5633.32,4,1,4,Others
12348.0,75,1,2019.4,3,1,3,Others
12349.0,19,3,4428.69,4,1,4,Others
12350.0,310,0,334.4,2,1,1,Others
12351.0,375,1,300.93,2,1,1,Others
12352.0,36,2,1889.21,3,1,3,Others
12353.0,204,1,406.76,2,1,2,Others
12354.0,232,0,1079.4,2,1,3,Others
12355.0,214,1,947.61,2,1,3,Others
12356.0,23,3,6373.68,4,1,4,Others
12357.0,33,2,18287.66,3,1,4,Others
12358.0,2,3,3887.07,4,1,4,Others
12359.0,8,6,8808.89,4,1,4,Others
12360.0,52,5,4252.89,3,1,4,Others
12361.0,287,3,511.25,2,1,2,Others
12362.0,3,1,5284.58,4,1,4,Others
12363.0,110,0,552.0,2,1,2,Others
12364.0,8,0,1313.1,4,1,3,Others
12365.0,291,0,320.69,2,1,1,Others
12366.0,634,1,500.24,1,1,2,Others
12367.0,4,0,168.9,4,1,1,Others
12368.0,628,1,917.6999999999999,1,1,3,Others
12369.0,413,3,1791.15,1,1,3,Others
12370.0,51,3,4320.31,3,1,4,Others
12371.0,45,3,4067.38,3,1,4,Others
12372.0,72,0,1298.04,3,1,3,Others
12373.0,311,2,1127.65,2,1,3,Others
12374.0,25,3,2989.2200000000003,3,1,4,Others
12375.0,3,0,455.42,4,1,2,Others
12376.0,390,2,503.15,1,1,2,Others
12377.0,315,2,3426.32,2,1,4,Others
12378.0,130,1,5416.32,2,1,4,Others
12379.0,82,2,1618.27,3,1,3,Others
12380.0,22,7,9672.050000000001,4,1,4,Others
12381.0,5,0,1803.96,4,1,3,Others
12383.0,185,0,1839.31,2,1,3,Others
12384.0,29,0,566.16,3,1,2,Others
12385.0,379,1,1938.4,1,1,3,Others
12386.0,338,1,660.8,2,1,2,Others
12387.0,415,1,143.94,1,1,1,Others
12388.0,16,2,3901.11,4,1,4,Others
12389.0,403,3,1433.33,1,1,3,Others
12390.0,80,0,549.84,3,1,2,Others
12391.0,22,5,2773.42,4,1,4,Others
12392.0,591,1,234.75000000000003,1,1,1,Others
12393.0,72,2,2399.4500000000003,3,1,4,Others
12394.0,64,0,1272.48,3,1,3,Others
12395.0,16,4,5046.92,4,1,4,Others
12396.0,674,1,931.43,1,1,3,Others
12397.0,36,0,2409.9,3,1,4,Others
12398.0,46,0,1635.6599999999999,3,1,3,Others
12399.0,119,3,1962.3,2,1,3,Others
12400.0,414,1,205.25,1,1,1,Others
12401.0,303,0,84.3,2,1,1,Others
12402.0,323,5,1256.9,2,1,3,Others
12403.0,50,1,1001.36,3,1,3,Others
12404.0,682,1,63.24,1,1,1,Others
12405.0,149,0,1710.39,2,1,3,Others
12406.0,22,3,6255.81,4,1,4,Others
12407.0,50,0,1708.1200000000001,3,1,3,Others
12408.0,33,3,4294.79,3,1,4,Others
12409.0,79,4,23403.55,3,1,4,Others
12410.0,301,1,1001.46,2,1,3,Others
12411.0,410,1,346.9,1,1,2,Others
12412.0,75,3,2596.93,3,1,4,Others
12413.0,67,1,935.5,3,1,3,Others
12414.0,217,3,952.41,2,1,3,Others
12415.0,24,7,143269.29,4,1,4,Others
12416.0,657,1,202.56,1,1,1,Others
12417.0,3,11,6746.61,4,1,4,Others
12418.0,113,3,2021.2,2,1,3,Others
12419.0,386,2,503.01,1,1,2,Others
12420.0,64,0,600.39,3,1,2,Others
12421.0,16,2,1097.83,4,1,3,Others
12422.0,96,14,5231.8,2,1,4,Others
12423.0,1,2,2612.19,4,1,4,Others
12424.0,163,2,3340.03,2,1,4,Others
12425.0,78,1,1741.41,3,1,3,Others
12426.0,195,1,1345.21,2,1,3,Others
12427.0,12,1,1011.87,4,1,3,Others
12428.0,26,0,7877.2,3,1,4,Others
12429.0,9,5,7485.91,4,1,4,Others
12430.0,43,0,256.4,3,1,1,Others
12431.0,36,13,10786.91,3,1,4,Others
12432.0,43,0,5059.32,3,1,4,Others
12433.0,1,5,20581.26,4,1,4,Others
12434.0,85,1,1062.48,3,1,3,Others
12435.0,80,4,13925.93,3,1,4,Others
12436.0,100,0,509.01,2,1,2,Others
12437.0,2,21,12628.65,4,1,4,Others
12438.0,14,0,2906.85,4,1,4,Others
12439.0,683,2,1158.18,1,1,3,Others
12440.0,462,2,859.2,1,1,2,Others
12441.0,367,1,347.1,2,1,2,Others
12442.0,3,0,172.06,4,1,1,Others
12443.0,732,1,485.31,1,1,2,Others
12444.0,21,0,5005.46,4,1,4,Others
12445.0,22,1,434.98,4,1,2,Others
12446.0,58,0,1002.3100000000001,3,1,3,Others
12447.0,243,0,476.49,2,1,2,Others
12448.0,44,0,449.45,3,1,2,Others
12449.0,22,2,4835.89,4,1,4,Others
12450.0,156,3,688.2,2,1,2,Others
12451.0,11,3,12567.88,4,1,4,Others
12452.0,17,0,428.57,4,1,2,Others
12453.0,134,0,707.09,2,1,2,Others
12454.0,53,4,13151.44,3,1,4,Others
12455.0,73,4,5879.95,3,1,4,Others
12456.0,44,0,3153.89,3,1,4,Others
12457.0,58,1,2550.46,3,1,4,Others
12458.0,71,2,1777.49,3,1,3,Others
12459.0,605,1,454.36,1,1,2,Others
12460.0,456,1,326.65,1,1,1,Others
12461.0,94,0,826.88,2,1,2,Others
12462.0,2,0,1124.01,4,1,3,Others
12463.0,46,0,1303.63,3,1,3,Others
12464.0,10,0,1212.05,4,1,3,Others
12465.0,8,0,733.89,4,1,2,Others
12466.0,682,1,56.73,1,1,1,Others
12467.0,423,1,132.8,1,1,1,Others
12468.0,143,3,3665.24,2,1,4,Others
12469.0,523,2,3070.54,1,1,4,Others
12470.0,690,1,211.95,1,1,1,Others
12471.0,2,49,38880.659999999996,4,1,4,Others
12472.0,31,13,17537.96,3,1,4,Others
12473.0,29,0,2848.23,3,1,4,Others
12474.0,17,13,12165.13,4,1,4,Others
12475.0,54,1,1149.64,3,1,3,Others
12476.0,1,12,13845.57,4,1,4,Others
12477.0,23,3,20173.64,4,1,4,Others
12478.0,4,0,680.99,4,1,2,Others
12479.0,4,0,477.3,4,1,2,Others
12480.0,28,3,5464.85,3,1,4,Others
12481.0,23,6,12355.93,4,1,4,Others
12482.0,576,29,23691.4,1,1,4,Others
12483.0,17,11,4962.7300000000005,4,1,4,Others
12484.0,33,6,6323.7,3,1,4,Others
12485.0,529,1,708.1,1,1,2,Others
12486.0,432,1,1037.28,1,1,3,Others
12487.0,731,1,285.29999999999995,1,1,1,Others
12488.0,10,0,1298.66,4,1,3,Others
12489.0,336,0,334.93,2,1,1,Others
12490.0,5,11,9823.64,4,1,4,Others
12491.0,39,0,460.40000000000003,3,1,2,Others
12492.0,63,1,715.21,3,1,2,Others
12493.0,166,0,416.79,2,1,2,Others
12494.0,10,3,1766.1200000000001,4,1,3,Others
12495.0,641,1,357.4,1,1,2,Others
12496.0,620,2,54.09,1,1,1,Others
12497.0,82,2,6248.5,3,1,4,Others
12498.0,21,0,403.70000000000005,4,1,2,Others
12499.0,560,1,393.72,1,1,2,Others
12500.0,23,8,5903.66,4,1,4,Others
12501.0,315,0,2089.68,2,1,3,Others
12502.0,96,0,3723.87,2,1,4,Others
12503.0,338,1,0.0,2,1,1,Others
12504.0,18,2,411.0,4,1,2,Others
12505.0,301,1,950.7,2,1,3,Others
12506.0,233,0,73.5,2,1,1,Others
12507.0,134,1,1797.31,2,1,3,Others
12508.0,26,0,398.27,3,1,2,Others
12509.0,284,0,176.5,2,1,1,Others
12510.0,143,7,5178.02,2,1,4,Others
12511.0,429,1,3084.02,1,1,4,Others
12512.0,66,0,138.03,3,1,1,Others
12513.0,85,0,586.79,3,1,2,Others
12514.0,267,1,1597.76,2,1,3,Others
12515.0,353,0,383.7,2,1,2,Others
12516.0,78,2,2648.62,3,1,4,Others
12517.0,28,0,2464.89,3,1,4,Others
12518.0,1,0,2056.89,4,1,3,Others
12519.0,64,1,726.54,3,1,2,Others
12520.0,79,0,2582.51,3,1,4,Others
12521.0,143,0,599.68,2,1,2,Others
12522.0,39,0,192.72,3,1,1,Others
12523.0,2,12,4327.95,4,1,4,Others
12524.0,9,9,11126.11,4,1,4,Others
12525.0,498,3,973.73,1,1,3,Others
12526.0,1,0,1316.66,4,1,3,Others
12527.0,82,2,735.51,3,1,2,Others
12528.0,9,0,1922.28,4,1,3,Others
12529.0,528,1,316.48,1,1,1,Others
12530.0,60,5,3720.61,3,1,4,Others
12531.0,15,1,1933.2,4,1,3,Others
12532.0,30,0,349.83000000000004,3,1,2,Others
12533.0,628,2,1367.89,1,1,3,Others
12534.0,131,0,1089.18,2,1,3,Others
12535.0,92,0,716.35,3,1,2,Others
12536.0,8,0,4106.82,4,1,4,Others
12537.0,409,1,732.94,1,1,2,Others
12538.0,29,1,640.45,3,1,2,Others
12539.0,22,3,9498.9,4,1,4,Others
12540.0,20,16,22163.29,4,1,4,Others
12541.0,30,0,981.18,3,1,3,Others
12542.0,484,2,481.88,1,1,2,Others
12543.0,448,1,980.25,1,1,3,Others
12544.0,30,0,355.7,3,1,2,Others
12545.0,75,0,1000.39,3,1,3,Others
12546.0,47,0,1141.5,3,1,3,Others
12547.0,198,1,383.58,2,1,2,Others
12548.0,166,0,95.19999999999999,2,1,1,Others
12549.0,576,6,1575.68,1,1,3,Others
12550.0,79,0,964.83,3,1,3,Others
12551.0,358,0,168.0,2,1,1,Others
12552.0,39,0,437.82,3,1,2,Others
12553.0,8,2,4568.72,4,1,4,Others
12554.0,449,1,468.5,1,1,2,Others
12555.0,682,1,129.23,1,1,1,Others
12556.0,50,0,603.71,3,1,2,Others
12557.0,16,4,18716.14,4,1,4,Others
12558.0,2,0,1.0658141036401503e-14,4,1,1,Others
12559.0,311,0,536.21,2,1,2,Others
12560.0,5,0,2101.39,4,1,3,Others
12561.0,303,0,238.85,2,1,1,Others
12562.0,8,2,4966.92,4,1,4,Others
12563.0,409,1,249.24,1,1,1,Others
12564.0,261,0,456.9,2,1,2,Others
12565.0,282,0,131.17,2,1,1,Others
12566.0,73,0,346.7,3,1,2,Others
12567.0,23,7,13423.52,4,1,4,Others
12568.0,645,1,70.0,1,1,1,Others
12569.0,2,0,4064.9900000000002,4,1,4,Others
12570.0,682,1,77.52,1,1,1,Others
12571.0,40,0,519.61,3,1,2,Others
12572.0,9,0,1004.72,4,1,3,Others
12573.0,227,4,717.41,2,1,2,Others
12574.0,316,0,218.45,2,1,1,Others
12575.0,457,2,622.8199999999999,1,1,2,Others
12576.0,36,3,2133.87,3,1,3,Others
12577.0,35,5,1591.35,3,1,3,Others
12578.0,21,2,4601.3,4,1,4,Others
12579.0,73,0,410.72,3,1,2,Others
12580.0,247,1,1052.9,2,1,3,Others
12581.0,40,0,197.71,3,1,1,Others
12582.0,239,2,1980.4,2,1,3,Others
12583.0,3,13,14353.4,4,1,4,Others
12584.0,4,0,1893.95,4,1,3,Others
12585.0,234,0,1982.81,2,1,3,Others
12586.0,17,3,2045.67,4,1,3,Others
12587.0,8,0,144.0,4,1,1,Others
12588.0,39,3,958.78,3,1,3,Others
12589.0,29,6,4695.66,3,1,4,Others
12590.0,190,0,9861.38,2,1,4,Others
12591.0,317,2,1352.15,2,1,3,Others
12592.0,92,3,2582.66,3,1,4,Others
12593.0,109,0,418.09999999999997,2,1,2,Others
12594.0,38,5,5072.110000000001,3,1,4,Others
12595.0,505,1,299.02,1,1,1,Others
12596.0,51,0,618.27,3,1,2,Others
12597.0,19,0,3683.13,4,1,4,Others
12598.0,10,3,4513.69,4,1,4,Others
12599.0,29,6,2296.72,3,1,4,Others
12600.0,29,12,5025.92,3,1,4,Others
12601.0,190,1,673.76,2,1,2,Others
12602.0,59,0,153.12,3,1,1,Others
12603.0,22,0,739.1999999999999,4,1,2,Others
12604.0,79,0,254.18,3,1,1,Others
12605.0,365,4,1225.45,2,1,3,Others
12606.0,682,1,21.0,1,1,1,Others
12607.0,58,0,3.552713678800501e-15,3,1,1,Others
12608.0,405,1,415.79,1,1,2,Others
12609.0,78,6,3435.86,3,1,4,Others
12610.0,23,0,2057.99,4,1,3,Others
12611.0,52,0,1193.32,3,1,3,Others
12612.0,58,0,643.59,3,1,2,Others
12613.0,31,5,6709.67,3,1,4,Others
12614.0,278,0,315.6,2,1,1,Others
12615.0,2,4,5740.98,4,1,4,Others
12616.0,85,1,1075.05,3,1,3,Others
12617.0,29,0,355.53,3,1,2,Others
12618.0,22,0,177.31,4,1,1,Others
12619.0,16,1,3354.95,4,1,4,Others
12620.0,15,0,1339.41,4,1,3,Others
12621.0,2,16,24698.21,4,1,4,Others
12622.0,232,0,180.1,2,1,1,Others
12623.0,276,6,3747.84,2,1,4,Others
12624.0,106,0,641.13,2,1,2,Others
12625.0,212,2,5095.38,2,1,4,Others
12626.0,23,0,6388.35,4,1,4,Others
12627.0,11,0,4478.53,4,1,4,Others
12628.0,4,0,769.61,4,1,2,Others
12629.0,386,2,1558.22,1,1,3,Others
12630.0,10,0,1270.88,4,1,3,Others
12631.0,57,5,3481.57,3,1,4,Others
12632.0,521,2,804.88,1,1,2,Others
12633.0,59,3,5654.81,3,1,4,Others
12634.0,536,2,490.0,1,1,2,Others
12635.0,90,2,2930.41,3,1,4,Others
12636.0,739,1,141.0,1,1,1,Others
12637.0,67,4,8271.66,3,1,4,Others
12638.0,33,1,921.49,3,1,3,Others
12639.0,239,2,1312.37,2,1,3,Others
12640.0,24,0,1174.58,4,1,3,Others
12641.0,115,0,185.9,2,1,1,Others
12642.0,25,0,1013.26,3,1,3,Others
12643.0,128,6,8350.42,2,1,4,Others
12644.0,130,3,1918.49,2,1,3,Others
12645.0,34,4,3519.5,3,1,4,Others
12646.0,5,0,1346.97,4,1,3,Others
12647.0,22,27,17871.45,4,1,4,Others
12648.0,155,3,1112.0,2,1,3,Others
12649.0,107,5,2274.85,2,1,4,Others
12650.0,3,0,314.44,4,1,1,Others
12651.0,335,3,377.75,2,1,2,Others
12652.0,322,1,1011.58,2,1,3,Others
12653.0,149,1,4160.83,2,1,4,Others
12654.0,11,0,601.98,4,1,2,Others
12655.0,424,1,261.35,1,1,1,Others
12656.0,17,3,6339.38,4,1,4,Others
12657.0,11,0,1152.06,4,1,3,Others
12658.0,19,0,686.05,4,1,2,Others
12659.0,30,0,91.68,3,1,1,Others
12660.0,11,0,245.1,4,1,1,Others
12661.0,436,1,162.0,1,1,1,Others
12662.0,1,10,6955.32,4,1,4,Others
12663.0,625,2,239.4,1,1,1,Others
12664.0,8,2,6052.04,4,1,4,Others
12665.0,325,2,312.35,2,1,1,Others
12666.0,359,1,1020.98,2,1,3,Others
12667.0,58,0,620.13,3,1,2,Others
12668.0,7,6,11380.710000000001,4,1,4,Others
12669.0,151,0,1607.73,2,1,3,Others
12670.0,10,2,3750.39,4,1,4,Others
12671.0,606,1,2622.481,1,1,4,Others
12672.0,330,1,437.05,2,1,2,Others
12673.0,5,1,1230.02,4,1,3,Others
12674.0,12,0,1919.31,4,1,3,Others
12675.0,554,2,958.5,1,1,3,Others
12676.0,25,5,2843.09,3,1,4,Others
12677.0,555,2,395.1,1,1,2,Others
12678.0,42,9,34240.98,3,1,4,Others
12679.0,52,0,1058.67,3,1,3,Others
12680.0,1,0,880.81,4,1,3,Others
12681.0,15,24,30758.329999999998,4,1,4,Others
12682.0,4,23,24033.91,4,1,4,Others
12683.0,4,8,12441.3,4,1,4,Others
12684.0,8,0,2283.63,4,1,4,Others
12685.0,28,0,2863.08,3,1,4,Others
12686.0,372,1,178.28,2,1,1,Others
12687.0,481,2,2138.91,1,1,3,Others
12688.0,114,0,4873.8099999999995,2,1,4,Others
12689.0,26,0,1247.61,3,1,3,Others
12690.0,206,0,389.01,2,1,2,Others
12691.0,28,1,1170.4,3,1,3,Others
12692.0,637,1,110.95,1,1,1,Others
12693.0,121,3,1678.07,2,1,3,Others
12694.0,70,1,1843.35,3,1,3,Others
12695.0,7,3,1407.1200000000001,4,1,3,Others
12696.0,435,2,851.91,1,1,2,Others
12697.0,21,0,939.02,4,1,3,Others
12698.0,590,1,339.75,1,1,1,Others
12699.0,418,1,638.11,1,1,2,Others
12700.0,8,0,4867.99,4,1,4,Others
12701.0,80,4,2446.41,3,1,4,Others
12702.0,20,0,219.0,4,1,1,Others
12703.0,64,3,997.68,3,1,3,Others
12704.0,7,0,2220.84,4,1,3,Others
12705.0,15,5,11708.05,4,1,4,Others
12707.0,292,0,603.42,2,1,2,Others
12708.0,30,9,5217.51,3,1,4,Others
12709.0,3,20,30650.92,4,1,4,Others
12710.0,97,0,1130.57,2,1,3,Others
12711.0,612,2,1339.05,1,1,3,Others
12712.0,23,10,7039.16,4,1,4,Others
12713.0,1,0,848.55,4,1,2,Others
12714.0,9,7,14093.71,4,1,4,Others
12715.0,106,0,353.86,2,1,2,Others
12716.0,4,0,1053.49,4,1,3,Others
12717.0,151,1,1258.91,2,1,3,Others
12718.0,71,0,238.25,3,1,1,Others
12719.0,5,0,608.1,4,1,2,Others
12720.0,3,6,8192.22,4,1,4,Others
12721.0,32,2,3985.93,3,1,4,Others
12722.0,85,0,904.33,3,1,3,Others
12723.0,4,0,725.07,4,1,2,Others
12724.0,5,3,2317.52,4,1,4,Others
12725.0,371,4,2694.56,2,1,4,Others
12726.0,28,4,4014.6,3,1,4,Others
12727.0,11,3,5646.53,4,1,4,Others
12728.0,71,1,1070.17,3,1,3,Others
12729.0,114,0,453.01,2,1,2,Others
12730.0,522,1,829.25,1,1,2,Others
12731.0,24,5,25673.21,4,1,4,Others
12732.0,180,0,236.26000000000002,2,1,1,Others
12733.0,234,3,2424.87,2,1,4,Others
12734.0,353,2,639.65,2,1,2,Others
12735.0,315,0,779.5699999999999,2,1,2,Others
12736.0,333,0,234.0,2,1,1,Others
12737.0,499,2,3710.5,1,1,4,Others
